level,stage_number,stage_name
ECD/PRE-PRIMARY SCHOOL,1,Nursery
PRE-PRIMARY SCHOOL,1,Nursery
PRE,1,Nursery
PRE-PRIMARY,1,Nursery
PRIMARY SCHOOL,2,Primary
SECONDARY SCHOOL,3,Secondary
SECONDARY SCH,3,Secondary
SECONDARY,3,Secondary
TECHNICAL TRAINING INSTITUTE,4,College
TEACHER TRAINING COLLEGE,4,College
UNIVERSITY,4,College
INSTITUTE OF TECHNOLOGY,4,College
NATIONAL POLYTECHNIC,4,College
TEACHERS TRAINING COLLEGE,4,College
TEACHER TRAINING,4,College
YOUTH POLYTECHNIC,5,Trade
VOCATIONAL TRAINING INSTITUTE,5,Trade
ADULT EDUCATION CENTRE,6,Adult
NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,7,Non-Classified
NON-FORMAL EDUCATION CENTRE,7,Non-Classified
NON FORMAL SCHOOL,7,Non-Classified
NON-FORMAL SCHOOL/NON-FORMAL EDUCATION CENTRE,7,Non-Classified
NON FORMAL/NON FORMAL EDUCATION CENTRE,7,Non-Classified
NON-FORMAL SCH,7,Non-Classified
NON-FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,7,Non-Classified
SPECIAL SCHOOL,7,Non-Classified
NON FORMAL SCHOOL/NON FORMAL,7,Non-Classified
NON-FORMAL EDUCATION,7,Non-Classified
SPECIAL UNIT,7,Non-Classified
PO,7,Non-Classified
PPRI,7,Non-Classified
R,7,Non-Classified
S,7,Non-Classified
SPECIAL INSTITUTION,7,Non-Classified